longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
13.4050,52.5200,35.0,1200.0,300.0,1000.0,400.0,7.5,350000.0,INLAND
13.4062,52.5213,36.0,1100.0,280.0,900.0,380.0,7.0,340000.0,INLAND
13.4074,52.5226,37.0,1050.0,260.0,950.0,360.0,6.8,330000.0,INLAND
13.4086,52.5239,38.0,1150.0,270.0,980.0,370.0,7.2,345000.0,INLAND
13.4098,52.5252,39.0,1080.0,255.0,930.0,350.0,6.9,325000.0,INLAND
13.4110,52.5265,40.0,1120.0,275.0,960.0,360.0,7.1,335000.0,INLAND
13.4122,52.5278,41.0,1090.0,265.0,940.0,355.0,7.0,330000.0,INLAND
13.4134,52.5291,42.0,1130.0,285.0,970.0,365.0,7.2,340000.0,INLAND
13.4146,52.5304,43.0,1140.0,290.0,980.0,370.0,7.3,345000.0,INLAND
13.4158,52.5317,44.0,1100.0,275.0,940.0,360.0,7.0,330000.0,INLAND
14.8091,47.2452,12.6,43981.0,540.0,3351.0,519.0,3266.0,276211.0,Hesse
9.9937,53.5511,35.0,1500.0,350.0,1300.0,500.0,8.5,450000.0,INLAND
9.9949,53.5524,36.0,1450.0,340.0,1250.0,490.0,8.3,440000.0,INLAND
9.9961,53.5537,37.0,1400.0,330.0,1200.0,480.0,8.1,430000.0,INLAND
9.9973,53.5550,38.0,1350.0,320.0,1150.0,470.0,7.9,420000.0,INLAND
9.9985,53.5563,39.0,1300.0,310.0,1100.0,460.0,7.7,410000.0,INLAND
9.9997,53.5576,40.0,1250.0,300.0,1050.0,450.0,7.5,400000.0,INLAND
10.0009,53.5589,41.0,1200.0,290.0,1000.0,440.0,7.3,390000.0,INLAND
10.0021,53.5602,42.0,1150.0,280.0,950.0,430.0,7.1,380000.0,INLAND
10.0033,53.5615,43.0,1100.0,270.0,900.0,420.0,6.9,370000.0,INLAND
10.0045,53.5628,44.0,1050.0,260.0,850.0,410.0,6.7,360000.0,INLAND

11.036948543200573,51.74304216624926,41.51833117798474,3124,924,2934,1674,4150.337844263241,125269,Bavaria
12.867083030096614,47.08050956524875,26.42377936857044,2709,891,2163,449,1980.2614149462984,839656,Bremen
11.630397136788083,50.80660956685778,28.54201954964341,3655,448,178,1384,8123.48737582189,917322,Schleswig-Holstein
10.993715012965865,52.67016312752839,16.273426388773036,4854,422,874,922,4247.158805749564,309351,Bavaria
9.66020279272795,47.35180345619273,32.226935756471256,3698,888,2343,351,3510.200894777671,907949,Saxony-Anhalt
12.104835243733216,54.03617186418984,18.630716390142577,3659,442,3242,649,1005.1265567509357,931880,Mecklenburg-Vorpommern
9.813459323889617,51.16065133308538,30.97778065443419,2353,708,3905,1633,1342.0403918331606,111802,Baden-Württemberg
14.809503008602878,47.24528838660574,12.635515200833144,4398,540,3351,519,3266.6002415067624,276211,Hesse
15.600290365511322,48.79530889536672,12.176109155352146,3597,377,1662,1116,3965.7726033302515,840015,Saxony-Anhalt
9.217856707083556,54.6294055714185,23.76633835363971,4718,696,1025,1224,7292.1485622528835,647513,Mecklenburg-Vorpommern
13.708975418909311,51.658557864416444,24.20687817997434,3486,957,2496,794,4316.104560996988,471102,Rhineland-Palatinate
10.81784411728195,47.85978054215044,17.06491692106426,1220,275,3489,1106,8168.723991226702,193878,Baden-Württemberg
11.248490172033256,49.30035601824449,10.92185826650105,540,521,3872,1434,6284.495930863099,632083,Baden-Württemberg
15.181563021219272,50.653629006883875,6.764474264625368,4078,188,4083,1294,4155.103477755068,467032,Baden-Württemberg
5.781396640176756,47.16760055414184,6.135432227951727,925,951,4701,1645,2416.5770388127676,552657,Rhineland-Palatinate
5.958422296716948,50.29292410891007,17.219763050291405,1946,539,4287,1377,1012.3246840652755,927027,Lower Saxony
5.222402371843583,50.91566908347758,25.78340489728717,3776,782,2308,927,4448.028476490968,341814,Bavaria
14.158818301027319,48.94942300224986,37.680947658775715,1722,625,213,1742,4660.4827623471065,259332,Saarland
13.559724260448355,51.70911200233589,26.369226532130405,867,528,4594,700,4275.021192256693,733747,Mecklenburg-Vorpommern
14.570133630715011,53.025920956737416,45.68228687458768,1804,703,2984,839,8221.636402423763,519700,Mecklenburg-Vorpommern
15.764801764560405,48.88667379284509,6.584891205893318,3861,442,2493,765,1859.9975257024896,283215,Rhineland-Palatinate
13.790744206383959,51.963999202239904,13.129727969328545,4793,447,1604,1451,2034.1200176149425,852050,Thuringia
10.07627298478225,52.116977943709934,20.233152174656418,537,743,3440,453,3101.1697771177915,674946,Brandenburg
13.58582093915101,54.58832240903073,30.987328462930513,1421,541,4045,1921,5623.594330804188,606875,Saxony-Anhalt
6.301018684558265,53.22620933837155,43.37312710522741,2308,261,1439,187,7533.112605324855,226025,Schleswig-Holstein
12.039131234602763,53.786762158320045,20.75908783804594,3950,897,920,74,9132.973665417008,437195,Thuringia
6.576886161499511,50.9233592674902,17.059490712698903,2443,441,1302,355,3403.853517252069,679602,Schleswig-Holstein
15.391358087545424,48.48278869583506,7.785012597930309,1958,166,220,868,2150.1941651458087,212180,Bavaria
10.74033153925079,54.96652234367708,41.95865649641468,4093,138,3800,486,5582.9304960091085,273164,Brandenburg
9.56128133989576,48.0348460883096,22.084989944300553,2269,508,1975,1029,3696.3316935036355,572581,Saarland
7.910111733150897,50.771658554834126,30.719758793762043,3547,309,3004,1344,9860.428349690092,465839,Hamburg
13.516570583776383,47.54474479393685,49.25999381770492,1130,689,2525,406,1358.5826113145217,543807,Saarland
10.017653654382034,54.55080685880655,5.071755677193256,1310,557,1811,337,2718.055280025166,132779,Berlin
11.252773437555135,54.71939952678752,11.545256331448968,2303,845,4795,1431,7782.028774872995,869026,Brandenburg
5.206687804799906,52.755112496031785,40.059994730871,3535,637,2414,847,4477.39816851859,958295,Brandenburg
11.793990467834647,49.79994274904135,41.230736834352705,1684,137,2105,278,6060.143435432045,352074,Saxony-Anhalt
11.733052949946636,49.03505920894099,39.61612035647399,2378,882,1178,983,8339.066293913078,494446,Baden-Württemberg
11.786273965622327,49.12242659629638,29.164950096927317,1809,467,962,686,7001.768836889036,227628,Berlin
15.381228863660866,48.0183522033606,49.04856414603752,2580,414,2045,223,6431.959182169354,157802,Hesse
12.500023290138317,51.20647162461378,22.828305199789423,1699,954,795,130,7136.412747174,196967,Bavaria
8.954586906311647,48.13453820561182,32.087466415090056,2787,168,3907,620,1578.201912459208,859190,Saxony-Anhalt
9.807351491792756,49.53384533242765,7.851605204698174,1511,380,3219,1335,1880.193400460868,616151,Hamburg
12.673943155199915,52.01365180767284,23.443585245830242,3093,331,1618,644,6467.9405076760695,911471,Mecklenburg-Vorpommern
5.662480187921968,52.820348876726,37.51250393794649,3358,254,511,1763,4310.599047859619,584276,Saarland
12.334433869902345,47.19418163697649,15.743247834681467,1816,350,3517,259,9961.427719030677,351203,Saxony-Anhalt
12.377016565799753,50.44092787501392,47.47224150829168,628,749,831,1235,8385.931180345582,708207,Bremen
